"CENSUS_YEAR","GEO_CODE (POR)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","GEO_CODE (POW)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","Dim: Sex (3): Member ID: [1]: Total - Sex","Dim: Sex (3): Member ID: [2]: Male","Dim: Sex (3): Member ID: [3]: Female"
2016,"1009","2","Division No. 9",8.6,"00000","1009","1010","2","Division No. 10",3.2,"00000","1010",120,80,35
2016,"1009","2","Division No. 9",8.6,"00000","1009","4816","2","Division No. 16",8.8,"01122","4816",35,35,0
2016,"1010","2","Division No. 10",5.3,"00000","1010","1001","2","Division No. 1",3.6,"00000","1001",55,45,10
2016,"1010","2","Division No. 10",5.3,"00000","1010","1009","2","Division No. 9",5.3,"00000","1009",20,10,10
2016,"1010","2","Division No. 10",5.3,"00000","1010","1010","2","Division No. 10",3.2,"00000","1010",10055,5235,4820
2016,"1010","2","Division No. 10",5.3,"00000","1010","1011","2","Division No. 11",12.7,"01111","1011",30,10,20
2016,"1010","2","Division No. 10",5.3,"00000","1010","2497","2","Sept-Rivières--Caniapiscau",4.5,"00000","2497",35,35,0
2016,"1010","2","Division No. 10",5.3,"00000","1010","2498","2","Minganie--Le Golfe-du-Saint-Laurent",3.6,"00011","2498",25,15,10
2016,"1011","2","Division No. 11",14.1,"01111","1011","1010","2","Division No. 10",3.2,"00000","1010",50,40,10
2016,"1011","2","Division No. 11",14.1,"01111","1011","1011","2","Division No. 11",12.7,"01111","1011",615,220,395
2016,"1101","2","Kings",7.3,"00000","1101","1101","2","Kings",4.5,"00000","1101",4180,1870,2310
2016,"1101","2","Kings",7.3,"00000","1101","1102","2","Queens",3.2,"00000","1102",1470,590,875
2016,"1101","2","Kings",7.3,"00000","1101","1103","2","Prince",3.8,"00000","1103",60,30,30
2016,"1101","2","Kings",7.3,"00000","1101","1209","2","Halifax",3.1,"00000","1209",20,15,10
2016,"1101","2","Kings",7.3,"00000","1101","1218","2","Victoria",4.4,"00000","1218",30,10,20
2016,"1102","2","Queens",5.1,"00000","1102","1001","2","Division No. 1",3.6,"00000","1001",30,10,20
2016,"1102","2","Queens",5.1,"00000","1102","1101","2","Kings",4.5,"00000","1101",875,470,410
2016,"1102","2","Queens",5.1,"00000","1102","1102","2","Queens",3.2,"00000","1102",29880,13355,16525
2016,"1102","2","Queens",5.1,"00000","1102","1103","2","Prince",3.8,"00000","1103",1530,790,740
2016,"1102","2","Queens",5.1,"00000","1102","1209","2","Halifax",3.1,"00000","1209",95,45,50
2016,"1102","2","Queens",5.1,"00000","1102","1212","2","Pictou",3.7,"00000","1212",30,0,25
2016,"1102","2","Queens",5.1,"00000","1102","1307","2","Westmorland",3.0,"00000","1307",25,15,10
2016,"1102","2","Queens",5.1,"00000","1102","3506","2","Ottawa",2.8,"00000","3506",20,10,15
2016,"1102","2","Queens",5.1,"00000","1102","3520","2","Toronto",2.9,"00000","3520",30,15,15
2016,"1102","2","Queens",5.1,"00000","1102","3521","2","Peel",2.6,"00000","3521",25,15,10
2016,"1102","2","Queens",5.1,"00000","1102","4806","2","Division No. 6",3.6,"00000","4806",25,15,15
2016,"1102","2","Queens",5.1,"00000","1102","4816","2","Division No. 16",8.8,"01122","4816",80,75,10
2016,"1102","2","Queens",5.1,"00000","1102","5915","2","Greater Vancouver",4.1,"00001","5915",25,15,10
2016,"1103","2","Prince",5.9,"00000","1103","1004","2","Division No. 4",4.2,"00000","1004",30,15,15
2016,"1103","2","Prince",5.9,"00000","1103","1101","2","Kings",4.5,"00000","1101",30,20,10
2016,"1103","2","Prince",5.9,"00000","1103","1102","2","Queens",3.2,"00000","1102",1120,525,595
2016,"1103","2","Prince",5.9,"00000","1103","1103","2","Prince",3.8,"00000","1103",14720,6685,8035
2016,"1103","2","Prince",5.9,"00000","1103","1209","2","Halifax",3.1,"00000","1209",70,40,35
2016,"1103","2","Prince",5.9,"00000","1103","1307","2","Westmorland",3.0,"00000","1307",20,20,0
2016,"1103","2","Prince",5.9,"00000","1103","4706","2","Division No. 6",3.8,"00000","4706",20,15,0
2016,"1103","2","Prince",5.9,"00000","1103","4816","2","Division No. 16",8.8,"01122","4816",80,70,10
2016,"1201","2","Shelburne",8.9,"00000","1201","1201","2","Shelburne",4.3,"00000","1201",4025,1840,2190
2016,"1201","2","Shelburne",8.9,"00000","1201","1202","2","Yarmouth",2.5,"00000","1202",275,105,170
2016,"1201","2","Shelburne",8.9,"00000","1201","1204","2","Queens",6.7,"00001","1204",75,35,40
2016,"1201","2","Shelburne",8.9,"00000","1201","1206","2","Lunenburg",2.9,"00000","1206",20,10,10
2016,"1201","2","Shelburne",8.9,"00000","1201","1209","2","Halifax",3.1,"00000","1209",20,15,0
2016,"1202","2","Yarmouth",6.9,"00000","1202","1201","2","Shelburne",4.3,"00000","1201",180,95,80
2016,"1202","2","Yarmouth",6.9,"00000","1202","1202","2","Yarmouth",2.5,"00000","1202",8160,3350,4805
2016,"1202","2","Yarmouth",6.9,"00000","1202","1203","2","Digby",5.5,"00000","1203",285,190,95
